date,page_view,view_item,add_to_cart,purchase,cart_tracking_broken,effective_add_to_cart,cart_issue_flag,conversion_anomaly_flag,partial_tracking_flag
2020-11-01,9767,3380,4,14,False,30.800000000000004,False,True,True
2020-11-02,14964,4935,0,49,True,107.80000000000001,True,False,False
2020-11-03,18665,5790,0,49,True,107.80000000000001,True,False,False
2020-11-04,15799,5063,0,46,True,101.2,True,False,False
2020-11-05,16249,5255,0,26,True,57.2,True,False,False
2020-11-06,15232,5370,0,58,True,127.60000000000001,True,False,False
2020-11-07,10814,3953,0,31,True,68.2,True,False,False
2020-11-08,9598,3166,0,32,True,70.4,True,False,False
2020-11-09,14009,4429,0,52,True,114.4,True,False,False
2020-11-10,15606,5222,0,64,True,140.8,True,False,False
2020-11-11,15938,5322,0,64,True,140.8,True,False,False
2020-11-12,15040,4925,0,54,True,118.80000000000001,True,False,False
2020-11-13,15722,5281,0,79,True,173.8,True,False,False
2020-11-14,10737,3509,0,30,True,66.0,True,False,False
2020-11-15,9913,3212,0,21,True,46.2,True,False,False
2020-11-16,15208,4836,85,69,False,85.0,False,False,False
2020-11-17,18098,6077,535,98,False,535.0,False,False,False
2020-11-18,16751,5338,621,68,False,621.0,False,False,False
2020-11-19,16677,5154,187,84,False,187.0,False,False,False
2020-11-20,17856,6082,15,118,False,259.6,False,True,True
2020-11-21,13278,4214,0,68,True,149.60000000000002,True,False,False
2020-11-22,11497,3737,0,60,True,132.0,True,False,False
2020-11-23,16358,5070,0,141,True,310.20000000000005,True,False,False
2020-11-24,19352,6624,0,147,True,323.40000000000003,True,False,False
2020-11-25,19898,6700,297,108,False,297.0,False,False,False
2020-11-26,16738,5114,1047,57,False,1047.0,False,False,False
2020-11-27,16510,5216,1229,97,False,1229.0,False,False,False
2020-11-28,13590,4438,1076,78,False,1076.0,False,False,False
2020-11-29,12999,4095,811,51,False,811.0,False,False,False
2020-11-30,21041,7132,1767,141,False,1767.0,False,False,False
2020-12-01,21511,6976,1653,107,False,1653.0,False,False,False
2020-12-02,19866,6441,1464,82,False,1464.0,False,False,False
2020-12-03,21359,7075,1286,90,False,1286.0,False,False,False
2020-12-04,20703,7349,1561,96,False,1561.0,False,False,False
2020-12-05,14975,4952,1063,87,False,1063.0,False,False,False
2020-12-06,13065,4043,791,42,False,791.0,False,False,False
2020-12-07,21324,6872,1127,110,False,1127.0,False,False,False
2020-12-08,27130,7896,1775,122,False,1775.0,False,False,False
2020-12-09,24193,7801,1787,150,False,1787.0,False,False,False
2020-12-10,24060,8108,1739,143,False,1739.0,False,False,False
2020-12-11,22212,7926,2135,160,False,2135.0,False,False,False
2020-12-12,16923,5674,1381,106,False,1381.0,False,False,False
2020-12-13,14322,4516,940,74,False,940.0,False,False,False
2020-12-14,19470,6684,1528,99,False,1528.0,False,False,False
2020-12-15,20822,7348,1943,139,False,1943.0,False,False,False
2020-12-16,19236,6432,1710,143,False,1710.0,False,False,False
2020-12-17,18136,6142,1648,126,False,1648.0,False,False,False
2020-12-18,16028,5374,1629,107,False,1629.0,False,False,False
2020-12-19,10728,3113,776,52,False,776.0,False,False,False
2020-12-20,8552,2389,535,20,False,535.0,False,False,False
2020-12-21,12294,3542,841,53,False,841.0,False,False,False
2020-12-22,12775,4286,1103,60,False,1103.0,False,False,False
2020-12-23,11356,3750,1116,67,False,1116.0,False,False,False
2020-12-24,7357,2271,483,23,False,483.0,False,False,False
2020-12-25,5956,1639,462,17,False,462.0,False,False,False
2020-12-26,6291,1730,338,17,False,338.0,False,False,False
2020-12-27,6226,1681,500,20,False,500.0,False,False,False
2020-12-28,9831,2638,633,36,False,633.0,False,False,False
2020-12-29,11770,2308,556,24,False,556.0,False,False,False
2020-12-30,10514,1863,400,37,False,400.0,False,False,False
2020-12-31,8535,1639,444,25,False,444.0,False,False,False
2021-01-01,7906,1498,295,14,False,295.0,False,False,False
2021-01-02,8450,1390,304,14,False,304.0,False,False,False
2021-01-03,8812,1615,229,14,False,229.0,False,False,False
2021-01-04,11010,1983,396,16,False,396.0,False,False,False
2021-01-05,14850,2715,538,29,False,538.0,False,False,False
2021-01-06,19233,3144,656,31,False,656.0,False,False,False
2021-01-07,15375,2798,594,26,False,594.0,False,False,False
2021-01-08,14381,2660,498,34,False,498.0,False,False,False
2021-01-09,11035,2130,462,20,False,462.0,False,False,False
2021-01-10,9674,1778,310,14,False,310.0,False,False,False
2021-01-11,13159,2444,537,28,False,537.0,False,False,False
2021-01-12,16693,3315,745,48,False,745.0,False,False,False
2021-01-13,15653,2990,665,36,False,665.0,False,False,False
2021-01-14,15534,3268,684,54,False,684.0,False,False,False
2021-01-15,13841,2981,572,47,False,572.0,False,False,False
2021-01-16,10556,1938,357,27,False,357.0,False,False,False
2021-01-17,9563,1566,301,14,False,301.0,False,False,False
2021-01-18,11332,1829,388,19,False,388.0,False,False,False
2021-01-19,17099,3933,713,49,False,713.0,False,False,False
2021-01-20,21007,5548,925,96,False,925.0,False,False,False
2021-01-21,17677,4680,642,52,False,642.0,False,False,False
2021-01-22,16803,4486,677,100,False,677.0,False,False,False
2021-01-23,11960,2811,372,43,False,372.0,False,False,False
2021-01-24,11038,2610,473,36,False,473.0,False,False,False
2021-01-25,14582,3269,480,61,False,480.0,False,False,False
2021-01-26,14861,3012,506,55,False,506.0,False,False,False
2021-01-27,16989,3813,575,54,False,575.0,False,False,False
2021-01-28,15149,3321,478,69,False,478.0,False,False,False
2021-01-29,14235,3242,486,54,False,486.0,False,False,False
2021-01-30,11049,2375,369,31,False,369.0,False,False,False
2021-01-31,9498,1829,295,19,False,295.0,False,False,False
